api,hsm_capacity,num_signatures,kmip_batch_count,time,threaded
kmip,100,1000,10,13.145438595005544,False
grpc,5000,1000,,4.047707190999063,False
kmip,100,1000,1,59.611762818996795,False
kmip,10000,1000,1,62.48873650698806,False
grpc,100,1000,,13.51680982200196,False
rest,20000,1000,,24.422079882002436,False
kmip,1000,1000,100,4.6819240789918695,False
kmip,5000,1000,10,5.091937332006637,False
kmip,1000,1000,10,6.085643589001847,False
kmip,10000,1000,10,5.3185830090078525,False
kmip,100,1000,100,14.18728143000044,False
grpc,20000,1000,,3.8231480279937387,False
rest,5000,1000,,24.237993542978074,False
grpc,1000,1000,,4.719054282002617,False
grpc,10000,1000,,4.0408641639805865,False
kmip,5000,1000,1,62.94553580600768,False
kmip,20000,1000,10,3.9025399280071724,False
kmip,20000,1000,1,65.45584053499624,False
kmip,20000,1000,100,3.078538156027207,False
kmip,1000,1000,1,61.99862061801832,False
kmip,10000,1000,100,2.6839785469928756,False
kmip,5000,1000,100,3.780994038999779,False
rest,10000,1000,,24.46256841599825,False
rest,100,1000,,35.096329367981525,False
rest,1000,1000,,25.3699045329995,False
kmip,1000,1000,10,4.988619243988069,False
grpc,100,1000,,13.560043813020457,False
grpc,5000,1000,,3.874101443012478,False
kmip,100,1000,100,12.839172248990508,False
grpc,20000,1000,,5.069764368003234,False
kmip,5000,1000,100,2.5659862200263888,False
kmip,1000,1000,100,3.380899648007471,False
rest,1000,1000,,26.71959955402417,False
kmip,20000,1000,100,2.343549545999849,False
grpc,1000,1000,,5.154180079000071,False
kmip,5000,1000,10,2.979250404983759,False
grpc,10000,1000,,4.911495139007457,False
rest,20000,1000,,26.587442650983576,False
rest,5000,1000,,21.44752505098586,False
kmip,5000,1000,1,69.56994823302375,False
rest,10000,1000,,23.40800339402631,False
kmip,100,1000,1,65.25189130799845,False
kmip,1000,1000,1,69.47875189399929,False
kmip,10000,1000,100,2.5897238299949095,False
kmip,20000,1000,10,2.7384835830016527,False
kmip,10000,1000,10,2.8105617870169226,False
kmip,20000,1000,1,69.99517474800814,False
kmip,10000,1000,1,70.29143869399559,False
kmip,100,1000,10,12.737757213995792,False
rest,100,1000,,29.071712528006174,False
kmip,1000,1000,100,3.3885328900069,False
rest,20000,1000,,23.16438206899329,False
kmip,10000,1000,1,70.49310207500821,False
kmip,5000,1000,100,2.4739699680067133,False
rest,5000,1000,,23.2798363819893,False
kmip,1000,1000,1,70.23829288600245,False
grpc,1000,1000,,5.337380104989279,False
kmip,10000,1000,10,2.819661735993577,False
kmip,20000,1000,1,70.66895534598734,False
kmip,10000,1000,100,2.448085395997623,False
grpc,5000,1000,,5.45026831200812,False
kmip,5000,1000,10,2.9036525590054225,False
kmip,20000,1000,10,3.006997436983511,False
kmip,5000,1000,1,70.37403571599862,False
rest,10000,1000,,29.183819386002142,False
kmip,20000,1000,100,2.394125444989186,False
kmip,100,1000,1,68.05130925500998,False
grpc,100,1000,,13.471772300021257,False
grpc,20000,1000,,5.386614755989285,False
kmip,100,1000,100,12.289912056992762,False
grpc,10000,1000,,5.100925181002822,False
rest,100,1000,,28.031145837012446,False
rest,1000,1000,,29.796878325985745,False
kmip,1000,1000,10,3.703901727014454,False
kmip,100,1000,10,12.724446056992747,False
kmip,100,1000,100,12.259225153014995,False
kmip,1000,1000,1,70.36884294298943,False
kmip,10000,1000,10,2.8103366100112908,False
rest,10000,1000,,25.63774031100911,False
kmip,20000,1000,10,2.885074516001623,False
rest,20000,1000,,28.16358753098757,False
kmip,5000,1000,1,70.94324461300857,False
kmip,100,1000,1,68.22775219299365,False
rest,1000,1000,,32.05534790601814,False
grpc,10000,1000,,5.505924315017182,False
kmip,10000,1000,100,2.351147259993013,False
kmip,20000,1000,100,2.4576608290080912,False
kmip,1000,1000,10,3.716762205993291,False
kmip,1000,1000,100,3.3490256869990844,False
kmip,5000,1000,100,2.5721213320211973,False
kmip,10000,1000,1,70.77331259899074,False
kmip,100,1000,10,12.736706351017347,False
grpc,1000,1000,,5.474615496990737,False
rest,5000,1000,,28.662831774010556,False
grpc,20000,1000,,5.668257523997454,False
grpc,5000,1000,,5.52135610600817,False
grpc,100,1000,,13.495297816989478,False
kmip,5000,1000,10,2.9059838380198926,False
kmip,20000,1000,1,70.6425900409813,False
rest,100,1000,,30.013008903013542,False
kmip,1000,1000,10,3.7095372110197786,False
kmip,20000,1000,100,2.4159806680108886,False
rest,1000,1000,,27.0382013359922,False
grpc,10000,1000,,5.085200981993694,False
rest,100,1000,,27.841231719998177,False
kmip,100,1000,100,12.308799767983146,False
rest,10000,1000,,27.990399814996636,False
kmip,20000,1000,10,2.693308255984448,False
kmip,10000,1000,100,2.4783413629920688,False
rest,5000,1000,,27.74188601199421,False
kmip,100,1000,10,12.757267064007465,False
kmip,1000,1000,100,3.4100087310071103,False
grpc,5000,1000,,5.647214867000002,False
kmip,1000,1000,1,70.39566480900976,False
kmip,5000,1000,10,2.9849437259836122,False
kmip,10000,1000,1,70.90519943300751,False
grpc,20000,1000,,4.3364296649815515,False
grpc,100,1000,,13.368730243004393,False
rest,20000,1000,,30.372255922993645,False
kmip,20000,1000,1,70.72362372500356,False
grpc,1000,1000,,6.118154525000136,False
kmip,5000,1000,1,70.66208824698697,False
kmip,5000,1000,100,2.507952783984365,False
kmip,100,1000,1,66.9666932770051,False
kmip,10000,1000,10,2.8227949059801176,False
rest,1000,1000,,22.82044092900469,False
rest,5000,1000,,28.764100205997238,False
kmip,100,1000,100,12.25562362500932,False
kmip,10000,1000,100,2.4423687999951653,False
