api,hsm_capacity,num_signatures,kmip_batch_count,time,threaded
kmip,100,1000,100,10.791472766984953,True
grpc,10000,1000,,0.5996416510024574,True
kmip,5000,1000,100,1.7417453569942154,True
rest,5000,1000,,3.8399695029947907,True
grpc,20000,1000,,0.5547093850036617,True
rest,10000,1000,,4.458848593989387,True
rest,1000,1000,,4.826900234998902,True
kmip,100,1000,1,13.235944545973325,True
kmip,20000,1000,10,1.476410103001399,True
kmip,5000,1000,1,6.188036986015504,True
kmip,20000,1000,1,6.390429362014402,True
kmip,10000,1000,100,1.5057847510033753,True
kmip,1000,1000,100,2.3229487570060883,True
grpc,100,1000,,10.569039899011841,True
grpc,1000,1000,,1.5208960209856741,True
kmip,1000,1000,1,6.511461387999589,True
kmip,10000,1000,1,6.401835352007765,True
kmip,1000,1000,10,2.2585263490036596,True
rest,100,1000,,11.150357762002386,True
kmip,20000,1000,100,1.4762339050066657,True
kmip,5000,1000,10,1.6444434279983398,True
kmip,100,1000,10,10.517138658004114,True
rest,20000,1000,,4.566828540991992,True
kmip,10000,1000,10,1.6154048229800537,True
grpc,5000,1000,,0.7142030709946994,True
kmip,100,1000,10,10.506667476001894,True
rest,100,1000,,11.050901188980788,True
kmip,5000,1000,10,1.6930052019888535,True
grpc,100,1000,,10.552648861019406,True
kmip,20000,1000,10,1.6488848729932215,True
kmip,5000,1000,1,6.3134684130200185,True
kmip,10000,1000,10,1.5626036600151565,True
grpc,5000,1000,,0.7674715699977241,True
rest,5000,1000,,4.234568591986317,True
kmip,1000,1000,1,6.997377913998207,True
rest,10000,1000,,4.573036965011852,True
kmip,20000,1000,100,1.457356113998685,True
kmip,5000,1000,100,1.5833617970056366,True
kmip,1000,1000,10,2.255081556009827,True
kmip,100,1000,1,13.04314580798382,True
kmip,100,1000,100,10.867902876983862,True
grpc,10000,1000,,0.6185000000114087,True
kmip,20000,1000,1,5.87462140302523,True
grpc,20000,1000,,0.5812368970073294,True
rest,20000,1000,,3.8333134340064134,True
kmip,1000,1000,100,2.2089893170050345,True
kmip,10000,1000,100,1.6151825390115846,True
grpc,1000,1000,,1.5814735180174466,True
kmip,10000,1000,1,5.712085843988461,True
rest,1000,1000,,4.68825817600009,True
kmip,5000,1000,10,1.7781358110078145,True
rest,100,1000,,11.188275472988607,True
rest,20000,1000,,4.549236224993365,True
kmip,100,1000,1,13.29741681201267,True
grpc,5000,1000,,0.8048573889827821,True
grpc,10000,1000,,0.7089465250028297,True
kmip,10000,1000,1,5.895320615993114,True
rest,5000,1000,,4.252056722994894,True
kmip,1000,1000,1,7.748475434986176,True
kmip,10000,1000,100,1.562779067986412,True
kmip,5000,1000,100,1.8374681870045606,True
kmip,100,1000,100,11.14260503501282,True
grpc,1000,1000,,1.6041287870029919,True
kmip,100,1000,10,10.726051085017389,True
grpc,20000,1000,,0.8654648880183231,True
kmip,10000,1000,10,1.5935683519928716,True
grpc,100,1000,,10.650413032009965,True
kmip,20000,1000,100,1.4857260790013243,True
kmip,5000,1000,1,5.994821261992911,True
rest,10000,1000,,4.508402418985497,True
kmip,20000,1000,10,1.5290463380224537,True
rest,1000,1000,,4.25518121701316,True
kmip,1000,1000,10,2.299062453006627,True
kmip,1000,1000,100,2.2072256579995155,True
kmip,20000,1000,1,5.840402571018785,True
grpc,100,1000,,10.530058231990552,True
grpc,10000,1000,,0.5853360830224119,True
rest,100,1000,,11.139358329004608,True
rest,5000,1000,,4.395218113990268,True
rest,1000,1000,,4.67727055499563,True
kmip,1000,1000,10,2.2655345859820955,True
kmip,5000,1000,10,1.7233793350169435,True
kmip,5000,1000,1,5.850020274025155,True
kmip,10000,1000,100,1.5539612520078663,True
kmip,5000,1000,100,1.73145632998785,True
kmip,100,1000,1,12.939266155997757,True
grpc,5000,1000,,0.7290977360098623,True
kmip,1000,1000,1,5.984567164996406,True
kmip,100,1000,10,10.549322982988087,True
kmip,100,1000,100,10.846842677012319,True
grpc,20000,1000,,0.5479961689852644,True
kmip,20000,1000,10,1.6407181349932216,True
kmip,20000,1000,100,1.4136156680178829,True
kmip,20000,1000,1,5.652579910005443,True
rest,10000,1000,,4.659968457010109,True
grpc,1000,1000,,1.5880327000049874,True
kmip,10000,1000,1,5.887298722984269,True
kmip,10000,1000,10,1.565052251011366,True
kmip,1000,1000,100,2.2596621009870432,True
rest,20000,1000,,3.9355788840039168,True
rest,100,1000,,11.128211004979676,True
kmip,20000,1000,10,1.7868480530160014,True
rest,10000,1000,,3.7663142980018165,True
kmip,100,1000,10,10.530037229997106,True
kmip,10000,1000,100,1.7701503110001795,True
kmip,10000,1000,1,5.940019825997297,True
grpc,10000,1000,,0.625534085003892,True
kmip,1000,1000,1,6.016959493019385,True
grpc,1000,1000,,1.572399338008836,True
rest,5000,1000,,4.0662949300021864,True
grpc,100,1000,,10.531938005995471,True
kmip,5000,1000,10,1.743969320988981,True
rest,20000,1000,,4.342259385011857,True
kmip,1000,1000,10,2.313286980992416,True
grpc,20000,1000,,0.5449338739854284,True
kmip,100,1000,1,12.830385959998239,True
kmip,5000,1000,1,6.504612973018084,True
kmip,10000,1000,10,1.6251000310003292,True
kmip,20000,1000,100,1.429256475996226,True
kmip,5000,1000,100,1.4895004689751659,True
kmip,100,1000,100,11.303952420013957,True
kmip,1000,1000,100,2.392517902975669,True
kmip,20000,1000,1,6.322759366012178,True
grpc,5000,1000,,0.7090024649805855,True
