api,hsm_capacity,num_signatures,kmip_batch_count,time,threaded
kmip,1000,1000,10,2.2191419310111087,True
rest,10000,1000,,3.5811444880091585,True
kmip,10000,1000,100,1.5339948009932414,True
kmip,100,1000,1,12.392799811001169,True
rest,20000,1000,,4.114741889003199,True
kmip,5000,1000,1,7.18225142598385,True
kmip,10000,1000,1,6.68108423097874,True
kmip,5000,1000,10,1.7005938749935012,True
kmip,5000,1000,100,1.5162969599768985,True
grpc,1000,1000,,1.5344226490124129,True
grpc,5000,1000,,0.7286496779997833,True
kmip,1000,1000,100,2.092201845982345,True
kmip,100,1000,10,10.422178963985061,True
kmip,1000,1000,1,6.3992394669912755,True
kmip,10000,1000,10,1.515286832000129,True
kmip,20000,1000,10,1.4657436559791677,True
kmip,20000,1000,100,1.4255897230177652,True
kmip,100,1000,100,10.78090937199886,True
rest,100,1000,,10.99849246701342,True
rest,5000,1000,,4.0903334629838355,True
grpc,10000,1000,,0.6188759279903024,True
grpc,20000,1000,,0.5630068040045444,True
rest,1000,1000,,3.7411600729974452,True
grpc,100,1000,,10.452713114995277,True
kmip,20000,1000,1,6.449789303995203,True
kmip,5000,1000,100,1.5336105290043633,True
kmip,100,1000,10,10.40828436499578,True
kmip,100,1000,1,12.825571577006485,True
kmip,20000,1000,1,6.3341762619966175,True
rest,1000,1000,,4.082488988991827,True
grpc,10000,1000,,0.6263448769750539,True
rest,10000,1000,,3.707409614988137,True
kmip,5000,1000,1,6.441998104011873,True
kmip,20000,1000,100,1.4493133529904298,True
kmip,1000,1000,100,2.484949236008106,True
rest,5000,1000,,3.6556347910081968,True
kmip,100,1000,100,10.831793896009913,True
grpc,100,1000,,10.500002210988896,True
kmip,5000,1000,10,1.610201492003398,True
kmip,10000,1000,1,5.937965888995677,True
kmip,10000,1000,100,1.5197055239987094,True
grpc,20000,1000,,0.536962976999348,True
kmip,1000,1000,10,2.1755276920157485,True
kmip,10000,1000,10,1.465723072993569,True
rest,20000,1000,,3.686821997980587,True
rest,100,1000,,10.862499744980596,True
grpc,5000,1000,,0.7660727819893509,True
kmip,20000,1000,10,1.519081048987573,True
kmip,1000,1000,1,6.046596525993664,True
grpc,1000,1000,,1.6592057649977505,True
kmip,1000,1000,100,2.302737693011295,True
kmip,10000,1000,100,1.5320177800022066,True
grpc,20000,1000,,0.5452044569829013,True
grpc,10000,1000,,0.6715507940098178,True
rest,10000,1000,,3.6817256460199133,True
grpc,1000,1000,,1.6052881939976942,True
kmip,20000,1000,10,1.5103120490093715,True
rest,100,1000,,10.928522148984484,True
kmip,5000,1000,10,1.5909981009899639,True
kmip,5000,1000,1,6.127118224016158,True
kmip,1000,1000,10,2.249659928987967,True
kmip,20000,1000,100,1.6230121650150977,True
rest,1000,1000,,3.737777954986086,True
kmip,100,1000,1,12.7547574909986,True
grpc,100,1000,,10.4949823099887,True
kmip,1000,1000,1,6.528144052979769,True
rest,20000,1000,,4.139552104985341,True
rest,5000,1000,,4.327972183993552,True
kmip,20000,1000,1,6.256262411974603,True
kmip,10000,1000,1,6.410133605997544,True
kmip,5000,1000,100,1.5287348139972892,True
grpc,5000,1000,,0.7569134270015638,True
kmip,100,1000,10,10.39913420198718,True
kmip,10000,1000,10,1.62324935302604,True
kmip,100,1000,100,10.85201142000733,True
kmip,5000,1000,10,1.692480469995644,True
kmip,5000,1000,1,6.114532911014976,True
rest,100,1000,,10.894306956004584,True
grpc,20000,1000,,0.5429686159768607,True
rest,10000,1000,,3.675101148983231,True
kmip,10000,1000,10,1.5304864130157512,True
kmip,100,1000,100,10.66446341999108,True
kmip,20000,1000,10,1.4932394659845158,True
kmip,1000,1000,1,6.290214537002612,True
rest,5000,1000,,4.1668034010217525,True
kmip,20000,1000,1,6.416818047000561,True
kmip,100,1000,1,12.886579988000449,True
rest,20000,1000,,4.088577673013788,True
grpc,100,1000,,10.472905315982644,True
kmip,10000,1000,1,6.3682997489813715,True
rest,1000,1000,,4.279715102020418,True
kmip,1000,1000,100,2.1501363270217553,True
kmip,10000,1000,100,1.540610951022245,True
grpc,5000,1000,,0.698917622998124,True
kmip,100,1000,10,10.406947013019817,True
grpc,1000,1000,,1.541956934001064,True
kmip,5000,1000,100,1.5997844969970174,True
grpc,10000,1000,,0.6163861300155986,True
kmip,20000,1000,100,1.5071750519855414,True
kmip,1000,1000,10,2.2716870400181506,True
kmip,100,1000,10,10.427411248994758,True
grpc,100,1000,,10.470068613009062,True
kmip,100,1000,1,12.860226422984852,True
rest,100,1000,,10.864608914998826,True
kmip,10000,1000,100,1.5261813629767857,True
kmip,1000,1000,1,6.033074128994485,True
rest,10000,1000,,4.257445911003742,True
kmip,10000,1000,1,6.392950344015844,True
grpc,1000,1000,,1.5467049150029197,True
grpc,10000,1000,,0.6092731590033509,True
kmip,100,1000,100,10.690100282023195,True
grpc,20000,1000,,0.5240288490022067,True
kmip,5000,1000,1,5.906443374027731,True
kmip,5000,1000,10,1.6715866849990562,True
kmip,1000,1000,100,2.1614858120155986,True
kmip,20000,1000,1,5.942844345001504,True
grpc,5000,1000,,0.7559734039823525,True
kmip,1000,1000,10,2.2417071259988006,True
rest,1000,1000,,3.8198169600218534,True
kmip,20000,1000,100,1.550373801990645,True
kmip,5000,1000,100,1.525518637005007,True
rest,20000,1000,,3.6794800180068705,True
kmip,20000,1000,10,1.5800696070073172,True
rest,5000,1000,,3.703679814992938,True
kmip,10000,1000,10,1.5266843189892825,True
rest,100,1000,,10.874905665026745,True
grpc,20000,1000,,0.5538528750184923,True
grpc,1000,1000,,1.5503972449805588,True
kmip,100,1000,100,10.907992435997585,True
grpc,100,1000,,10.46910504499101,True
rest,1000,1000,,4.364556582993828,True
kmip,1000,1000,1,6.621599614009028,True
kmip,20000,1000,100,1.5766071809921414,True
kmip,10000,1000,10,1.546299509005621,True
kmip,20000,1000,10,1.4983617260004394,True
kmip,10000,1000,100,1.5793397880042903,True
kmip,1000,1000,10,2.27547977498034,True
kmip,100,1000,10,10.401793622004334,True
kmip,100,1000,1,12.917730309010949,True
kmip,1000,1000,100,2.128059592010686,True
rest,20000,1000,,3.7520509299938567,True
rest,10000,1000,,4.28460217997781,True
grpc,10000,1000,,0.5657188119948842,True
kmip,20000,1000,1,5.923389349016361,True
kmip,5000,1000,100,1.666249848989537,True
kmip,5000,1000,1,5.948263408994535,True
kmip,5000,1000,10,1.5900235009903554,True
rest,5000,1000,,3.8089873649878427,True
kmip,10000,1000,1,6.422798437997699,True
grpc,5000,1000,,0.7212806320167147,True
kmip,10000,1000,100,1.4876540979894344,True
grpc,20000,1000,,0.5391315860033501,True
rest,20000,1000,,3.703456699993694,True
kmip,20000,1000,100,1.3638919130025897,True
kmip,1000,1000,100,2.199958041019272,True
rest,10000,1000,,3.743664831010392,True
kmip,100,1000,10,10.435815403994638,True
grpc,10000,1000,,0.6367230789910536,True
kmip,20000,1000,10,1.5711383730231319,True
grpc,100,1000,,10.480560428026365,True
kmip,20000,1000,1,5.994247691996861,True
